pdbcode,-log[Ki or Kd or IC50],dataset,binding constant type,data sign
4u8w,11.24,general,Ki,=
4oo9,9.07,general,Kd,=
4l53,7.55,general,IC50,=
4b9k,6.17,general,Ki,=
4h4e,6.68,general,IC50,=
3q6k,8.37,general,Kd,=
1ilq,4.89,general,Ki,=
3nyd,3.48,general,Ki,=
3hv6,5.64,general,IC50,=
2w2u,4.46,general,Kd,=
3c7q,7.68,general,IC50,=
2ym4,5.82,general,IC50,=
4bgx,1.77,general,Kd,=
2ez7,4.36,general,Kd,=
3t0b,4.30,general,Ki,=
4ty7,9.52,general,Ki,=
3ekq,6.75,general,Kd,=
3b2t,5.21,general,Kd,=
5ar4,6.70,general,IC50,=
3fyj,8.30,general,IC50,=
4yne,8.52,general,IC50,=
3og7,7.51,general,IC50,=
3tyq,8.30,general,IC50,=
2oqi,8.49,general,Ki,=
2w97,0.96,general,Kd,=
1yw8,8.00,general,IC50,=
3c8a,6.18,general,Ki,=
2xn3,5.92,general,Kd,=
4p6c,4.00,general,Ki,=
4rhu,6.16,general,Ki,=
1e3g,9.00,general,Kd,=
3bun,6.21,general,Kd,=
3bet,5.82,general,IC50,=
3ufl,6.82,general,IC50,=
4i8w,10.90,general,Ki,=
4f63,6.30,general,IC50,=
4re3,8.57,general,Ki,=
4omk,4.40,general,Kd,=
3fzn,4.01,general,Kd,=
4hcv,6.40,general,IC50,=
3ctq,7.40,general,IC50,=
3ryz,8.62,general,Kd,=
3p58,7.60,general,Ki,=
4mrf,1.95,general,Kd,=
3krr,9.32,general,IC50,=
5d9k,8.40,general,IC50,=
4az5,5.99,general,Kd,=
3p3g,9.74,general,Ki,=
3tcp,8.37,general,Ki,=
3mvh,9.30,general,IC50,=
1t79,6.04,general,Kd,=
4hzm,4.63,general,Ki,=
1g9s,3.61,general,Ki,=
4wj7,4.89,general,Kd,=
1nox,7.05,general,Kd,=
2fw6,2.92,general,Kd,=
1xap,8.70,general,Kd,=
4mmf,6.53,general,Kd,=
3rz5,7.89,general,Kd,=
2oc0,7.82,general,Ki,=
5efa,4.83,general,Kd,=
4pnr,6.34,general,IC50,=
1olu,4.41,general,Kd,=
3rin,8.89,general,IC50,=
2m3z,6.57,general,Kd,=
2clm,3.55,general,Kd,=
4g3g,8.43,general,Ki,=
4nj9,6.97,general,Kd,=
3qx8,2.86,general,Kd,=
3eju,6.60,general,IC50,=
4usi,4.41,general,Kd,=
3b7r,7.70,general,Ki,=
4zjw,6.66,general,IC50,=
4xqb,3.79,general,Kd,=
3pck,6.70,general,Kd,=
3srg,5.70,general,Ki,~
1w70,3.70,general,Kd,=
4hyu,8.21,general,IC50,=
5bvd,9.80,general,IC50,=
1u9v,8.22,general,IC50,=
3met,6.00,general,Kd,=
2vcq,6.04,general,IC50,=
4mz6,5.02,general,Kd,=
4knj,7.95,general,Kd,=
4gzt,7.77,general,Ki,=
3ttz,8.40,general,IC50,=
1wur,6.66,general,Ki,=
4uye,8.02,general,Kd,=
3qxd,6.15,general,Kd,=
1mes,7.70,general,Ki,=
3mdz,9.10,general,Ki,=
4x3u,5.09,general,IC50,=
3tdz,6.82,general,Kd,=
3be2,8.70,general,IC50,=
2e93,6.96,general,Ki,=
3puk,4.74,general,Kd,=
4abu,6.28,general,IC50,=
3ws8,6.68,general,IC50,=
4zzd,6.60,general,Kd,=
4wke,8.10,general,Kd,=
1o2j,6.92,general,Ki,=
1w13,8.70,general,Ki,=
4iic,4.85,general,Ki,=
3cwj,8.00,general,IC50,=
2bz8,5.60,general,Kd,=
2i4z,5.70,general,Kd,=
3w37,5.18,general,Ki,=
4y6m,7.15,general,IC50,=
3jzc,8.53,general,IC50,=
5boj,7.00,general,Kd,=
3w54,9.70,general,IC50,=
1usn,7.74,general,Ki,=
4kww,5.55,general,Ki,=
4lh6,4.11,general,IC50,=
4asd,9.28,general,Ki,=
3gcp,7.82,general,Kd,=
4qxs,5.96,general,IC50,=
4bbe,8.44,general,IC50,=
4iif,5.18,general,Ki,=
4prn,5.66,general,Kd,=
3f48,6.29,general,Kd,=
4pis,7.22,general,IC50,=
1g4k,5.70,general,IC50,=
4m2w,7.28,general,Ki,=
4qsm,7.41,general,IC50,=
4f9y,6.74,general,Kd,=
3dd8,7.85,general,Ki,=
4cnh,8.40,general,Ki,=
3l5f,6.22,general,IC50,=
1v11,3.98,general,Kd,=
5cxz,6.26,general,IC50,=
4aw8,7.66,general,Kd,=
4rdn,5.92,general,Kd,=
4erw,8.15,general,IC50,=
1x7e,5.97,general,IC50,=
4dve,9.52,general,Kd,=
2o0u,5.49,general,Ki,=
2uvm,7.10,general,Ki,=
4h1j,5.92,general,IC50,=
4uwl,8.57,general,Kd,=
2qm9,7.77,general,Kd,=
3bwk,3.94,general,Kd,=
1ze8,7.68,general,Ki,=
2a2x,7.69,general,IC50,=
3nb5,7.74,general,Ki,=
2qqs,6.40,general,Kd,=
1jqy,4.92,general,Ki,=
1hiy,3.08,general,Kd,=
2o4h,6.52,general,Ki,=
1h4w,4.66,general,Ki,=
2wti,7.04,general,IC50,=
1kf6,6.70,general,Ki,=
3buf,3.10,general,Kd,=
2wxv,8.70,general,IC50,=
1q84,11.05,general,Ki,=
2q93,6.25,general,IC50,=
4eh6,2.46,general,IC50,=
1biw,6.98,general,IC50,=
1eat,7.82,general,Ki,=
3h89,7.64,general,Ki,=
4b2l,3.24,general,Kd,=
1xgj,6.00,general,Ki,=
1zd3,3.30,general,IC50,>
4an1,10.26,general,Ki,=
1ow8,5.40,general,Kd,=
1a4q,5.44,general,IC50,=
1ihy,3.74,general,Ki,=
4k6y,4.83,general,Ki,=
4m3m,9.05,general,IC50,=
4d2d,3.47,general,IC50,=
3vdc,4.92,general,Ki,=
4nat,6.48,general,IC50,=
4k64,3.00,general,Kd,>
2ypp,4.41,general,Kd,=
3i81,7.89,general,IC50,=
4w9s,6.82,general,IC50,=
2adu,7.74,general,Ki,=
4jg8,8.60,general,IC50,<
4k63,4.22,general,Kd,=
1d4h,10.00,general,Ki,=
2xpa,5.39,general,IC50,=
1w2x,5.14,general,Kd,=
4j52,8.52,general,IC50,=
4ok6,4.85,general,IC50,=
5ct7,7.15,general,IC50,=
3exf,6.54,general,Kd,=
4g0c,7.92,general,Ki,=
4lop,8.15,general,Kd,=
3r5t,8.58,general,Kd,=
2ceq,7.28,general,Ki,=
2mip,8.46,general,IC50,<=
4qxr,6.00,general,Kd,=
3ao1,2.26,general,Kd,=
4igq,4.52,general,Kd,=
2rio,4.69,general,Kd,=
3acl,6.22,general,Kd,=
3f5j,4.28,general,Ki,=
3v0p,6.28,general,Ki,=
4qc1,4.99,general,Kd,=
3fud,2.70,general,IC50,=
3jzi,5.30,general,IC50,=
1kne,5.60,general,Kd,=
4hs6,7.52,general,Kd,=
3ckr,5.30,general,Ki,=
4jhz,6.02,general,Ki,=
3n5u,5.92,general,Kd,=
1yt7,9.89,general,IC50,=
4mjr,3.55,general,Ki,=
3ud7,4.74,general,Kd,=
4psq,6.36,general,IC50,=
3fci,5.89,general,IC50,=
1azm,6.10,general,Ki,=
4xue,5.30,general,IC50,>
3qk5,7.74,general,IC50,=
3chf,5.37,general,IC50,=
5yas,3.26,general,Ki,=
4rg0,7.30,general,IC50,=
3dxk,6.33,general,Kd,=
1b1h,7.03,general,Kd,=
3dln,6.60,general,Ki,=
3e7a,10.00,general,IC50,=
2h9n,3.94,general,Kd,=
4j77,5.47,general,Kd,=
2ity,7.27,general,Kd,=
3lzb,7.20,general,IC50,=
1wum,5.29,general,IC50,=
1vzq,7.44,general,Ki,=
4f64,7.20,general,IC50,=
3ttm,8.52,general,Kd,=
6upj,6.32,general,Ki,=
4occ,8.70,general,IC50,=
4qr4,6.60,general,IC50,=
2f6v,4.43,general,IC50,=
1a8i,5.52,general,Ki,=
3q5u,4.31,general,Kd,=
3pup,8.22,general,IC50,=
4ret,7.59,general,Kd,=
5ctb,7.64,general,IC50,=
4bks,3.82,general,Kd,=
3r7n,6.15,general,IC50,=
3r2f,8.85,general,IC50,=
4a4v,6.54,general,Kd,=
1zhk,4.45,general,Kd,=
1toi,4.05,general,Kd,=
3szb,4.92,general,IC50,=
1mhw,7.35,general,Ki,=
2hdu,2.30,general,Ki,=
4lm2,3.03,general,Ki,=
1ydk,5.89,general,Kd,=
2wxp,8.52,general,IC50,=
2ima,6.52,general,Ki,=
4ele,7.88,general,Ki,=
4lmn,10.30,general,Ki,=
2ybt,4.70,general,IC50,=
4ylj,8.22,general,IC50,=
4mpn,6.62,general,Kd,=
1waw,7.89,general,IC50,=
1vsn,9.70,general,IC50,=
2vur,4.52,general,IC50,=
4mvy,7.54,general,IC50,=
3oy3,7.45,general,IC50,=
4y32,4.05,general,IC50,=
4drk,5.08,general,IC50,=
3kqs,5.20,general,Kd,=
4jsa,4.96,general,Ki,=
3sn7,9.15,general,IC50,=
4yrr,2.70,general,IC50,>
4de5,3.15,general,Kd,=
5c84,6.19,general,IC50,=
2e92,6.89,general,Ki,=
3mn8,6.17,general,Ki,=
3fuk,3.02,general,IC50,=
3src,3.89,general,IC50,=
4qfp,4.23,general,Kd,=
2h4g,6.52,general,Ki,=
3b1t,5.66,general,IC50,=
2w12,4.65,general,IC50,=
4his,8.09,general,Kd,=
3v4t,4.11,general,Kd,=
4mnw,5.76,general,Ki,=
3cpj,4.72,general,Kd,=
1ld7,8.96,general,IC50,=
3lnj,6.66,general,Kd,=
3gww,0.45,general,IC50,=
3qs6,4.89,general,Kd,=
4cs9,2.10,general,Kd,=
2cf9,7.82,general,Ki,=
1fo2,4.70,general,IC50,=
4yl3,8.15,general,IC50,=
1o8b,2.68,general,Ki,=
2r6n,9.00,general,IC50,=
2y06,6.10,general,Kd,=
2pwd,4.40,general,Ki,=
2boj,5.77,general,Kd,=
3bcs,5.21,general,Ki,=
1oyn,6.26,general,IC50,=
3obu,4.30,general,Kd,=
5fl6,7.36,general,Ki,=
1e1x,5.89,general,Ki,=
3hkt,5.39,general,Ki,=
3voz,6.85,general,IC50,=
4bnx,7.70,general,IC50,=
3bx5,8.46,general,IC50,=
6apr,7.77,general,Ki,<=
4ykn,8.00,general,IC50,=
3s1y,6.22,general,IC50,=
2y5k,6.66,general,IC50,=
4iid,5.62,general,Ki,=
3f0r,6.89,general,Ki,=
2xu5,6.89,general,IC50,=
1z6j,8.03,general,IC50,=
3hav,3.77,general,Ki,=
1hdt,7.76,general,Ki,=
4wx4,9.22,general,IC50,=
3qtf,6.96,general,IC50,=
4ei4,8.74,general,Ki,=
3sax,6.57,general,Kd,=
3jsi,8.68,general,IC50,=
1bap,6.85,general,Kd,=
3qel,6.49,general,Kd,=
4mep,5.33,general,IC50,=
2gfk,4.52,general,IC50,=
1zhl,5.00,general,Kd,=
2iit,8.59,general,IC50,=
3rjc,5.24,general,IC50,=
1sv3,4.35,general,Kd,=
4c35,6.25,general,IC50,=
3vp4,4.73,general,IC50,=
4xx4,7.36,general,Ki,=
1pq3,7.52,general,Ki,=
2wl5,4.52,general,Kd,=
3rux,9.28,general,Kd,=
4orx,3.53,general,Kd,=
3egt,8.90,general,Ki,=
7std,10.72,general,Ki,=
4pm0,7.35,general,IC50,=
3nf7,3.47,general,IC50,=
4uiy,5.60,general,IC50,=
3ff3,3.57,general,Ki,=
1dtq,8.22,general,IC50,=
3ufa,5.00,general,Ki,=
4bty,7.70,general,IC50,=
4i7m,4.14,general,Kd,=
3el5,7.72,general,Kd,=
2v96,4.54,general,Ki,=
3t3d,4.91,general,Ki,=
4yp8,7.89,general,IC50,=
3daz,7.93,general,Ki,=
3n1c,5.22,general,Kd,=
1xgi,4.85,general,Ki,=
3t64,6.70,general,Ki,=
4pp3,7.82,general,Kd,=
4li5,6.26,general,IC50,=
1ro7,3.18,general,Ki,=
1k9r,3.30,general,Kd,=
1nhz,6.08,general,Ki,=
3eyl,6.60,general,IC50,=
4nw5,7.70,general,IC50,=
2ltz,5.35,general,Kd,=
4ksy,8.42,general,Kd,=
4k6z,8.70,general,Ki,=
4qll,3.38,general,Ki,=
3rul,6.85,general,Kd,=
2q2z,8.70,general,IC50,=
4z2g,6.66,general,IC50,=
3ggv,10.85,general,Ki,=
1h3h,6.66,general,Kd,=
3isj,3.68,general,Kd,=
1sje,8.22,general,Kd,=
3mj1,7.82,general,Kd,=
3ai8,3.81,general,Ki,=
2poq,4.42,general,IC50,=
3c1n,5.50,general,Kd,=
3rxg,2.15,general,IC50,=
1ssq,6.00,general,Ki,=
2xp6,4.70,general,IC50,=
4kio,6.30,general,IC50,=
1j14,4.49,general,Ki,=
1h4n,4.92,general,Ki,=
2weh,5.95,general,Kd,=
4tju,5.44,general,IC50,=
2m41,5.10,general,Kd,=
3wyl,8.85,general,IC50,=
4btk,6.62,general,Kd,=
3w32,7.12,general,IC50,=
1nmk,8.24,general,IC50,=
3dpe,7.24,general,IC50,=
2zju,5.81,general,Kd,=
2r3g,6.10,general,IC50,=
4zsa,7.82,general,IC50,=
3hac,8.17,general,IC50,=
3rdq,9.31,general,Kd,=
4m5g,5.01,general,Kd,=
2nnp,8.37,general,Ki,=
1uv5,8.30,general,IC50,=
4po7,7.07,general,Kd,=
3qmk,6.10,general,Kd,=
2zdz,6.15,general,IC50,=
1f3e,6.70,general,Ki,=
2o4j,10.10,general,Ki,=
2ya7,3.14,general,Ki,=
1b9t,5.10,general,IC50,=
1r6g,9.21,general,IC50,=
3eor,1.40,general,Kd,=
2vcb,5.26,general,Kd,=
2xp3,3.00,general,IC50,>
2vx0,6.24,general,IC50,=
2c1b,6.40,general,IC50,=
3p8e,5.15,general,Kd,=
4ebw,5.06,general,IC50,=
4ayy,8.17,general,Ki,=
4d0x,8.10,general,IC50,=
3mxs,5.01,general,Ki,=
1k1j,7.55,general,Kd,=
2vie,7.48,general,IC50,=
4gwk,3.34,general,Kd,=
4jbs,7.96,general,IC50,=
1gsf,5.00,general,IC50,~
3u0t,9.52,general,Kd,=
3l3z,4.87,general,IC50,=
2ig0,4.71,general,Kd,=
4iie,2.34,general,Ki,=
4wtu,9.52,general,IC50,=
2wk2,6.82,general,Ki,=
3zj6,6.66,general,Ki,=
4wri,9.01,general,Kd,=
1wvc,4.46,general,Ki,=
4lxk,8.40,general,IC50,=
3au6,7.92,general,Kd,=
3pix,7.00,general,IC50,=
3p8z,6.09,general,Ki,=
3vje,8.01,general,Kd,=
4ohk,8.30,general,IC50,=
1hti,5.13,general,Ki,=
3b0w,5.70,general,IC50,=
3we4,7.82,general,IC50,=
2wj1,8.72,general,Ki,=
2pks,4.96,general,IC50,=
4ehz,8.00,general,Ki,=
4g8n,7.20,general,Kd,=
4loy,8.09,general,Ki,=
3hv3,6.33,general,IC50,=
1uyi,5.39,general,IC50,=
3gcv,7.13,general,Kd,=
3ljo,6.62,general,Kd,=
2j7g,7.00,general,Kd,=
3ri1,5.30,general,Kd,=
4ono,5.19,general,Kd,=
4crc,8.72,general,Ki,=
4x6j,7.80,general,Ki,=
3s76,5.05,general,Kd,=
3pb3,6.22,general,Kd,=
1w5v,8.15,general,Ki,=
4avi,7.63,general,Kd,=
1lhu,8.83,general,Kd,=
2adm,5.70,general,Kd,=
4czs,5.00,general,Kd,=
3zmv,4.26,general,Ki,=
3hy9,7.77,general,IC50,=
2or9,6.30,general,Kd,=
1uti,5.62,general,Kd,=
4q06,7.66,general,Kd,=
1il4,2.85,general,IC50,=
4i7j,3.32,general,Kd,=
4rao,6.00,general,Ki,=
5aki,6.12,general,IC50,=
3lok,6.92,general,IC50,=
4ez5,6.52,general,IC50,=
2iw4,9.30,general,Kd,=
4r5n,7.12,general,IC50,=
1p19,4.11,general,Kd,=
2qln,5.43,general,Ki,=
4x1r,6.40,general,Kd,=
1tow,6.24,general,IC50,=
4rj8,7.77,general,Ki,=
2rr4,4.78,general,Kd,=
3snd,5.08,general,Ki,=
1kdy,6.38,general,Ki,=
2pj9,7.92,general,IC50,=
2p99,5.94,general,IC50,=
4w9j,6.23,general,Kd,=
2c97,6.14,general,Kd,=
1rtf,3.04,general,Ki,=
3el1,9.64,general,Kd,=
1n7j,6.43,general,Ki,=
4wuy,7.82,general,IC50,<
3dz6,7.82,general,IC50,=
4j51,6.59,general,IC50,=
4btw,7.15,general,IC50,=
4ap7,7.96,general,Ki,=
1i8h,4.54,general,Kd,=
2is0,6.70,general,IC50,=
3v4v,7.38,general,IC50,=
4jk5,7.55,general,Ki,=
4qz5,5.26,general,IC50,=
4ufk,3.89,general,Ki,=
5akh,6.59,general,IC50,=
4obp,7.77,general,IC50,=
3r21,6.74,general,IC50,=
4qac,9.40,general,Kd,=
4k0u,7.26,general,Kd,=
1uyg,4.27,general,IC50,=
4ohp,7.46,general,IC50,=
4pox,5.43,general,Kd,=
2wxf,6.74,general,IC50,=
1g9t,3.28,general,Ki,=
3mnu,7.32,general,Ki,=
4nms,4.94,general,Kd,=
1pvn,9.82,general,Ki,=
4i6h,8.30,general,IC50,=
1b5i,7.05,general,Kd,=
3g5y,7.46,general,Kd,=
3m6f,8.60,general,IC50,=
3v8t,9.52,general,IC50,=
2x6j,7.44,general,IC50,=
3ig1,6.14,general,Kd,=
4bqs,4.21,general,Ki,=
4os7,4.62,general,Ki,=
3opp,6.28,general,Ki,=
3as2,3.44,general,IC50,=
2avs,7.57,general,Ki,=
1o46,8.00,general,IC50,=
4qfl,5.11,general,Kd,=
2bfq,6.89,general,Kd,=
3eid,6.35,general,IC50,=
4cqf,4.30,general,IC50,=
1stc,8.10,general,Ki,=
3que,8.82,general,Kd,=
4mlx,3.19,general,Ki,=
4n6g,5.47,general,Kd,=
4pni,6.09,general,IC50,=
4rrg,2.81,general,Kd,=
2psu,7.62,general,Ki,=
1w76,6.15,general,IC50,=
2zmd,7.01,general,Kd,=
2cn0,7.66,general,Ki,=
3dxj,6.22,general,Kd,=
4ptg,8.23,general,IC50,=
3zpt,8.51,general,Ki,=
3vjl,8.25,general,IC50,=
3s2o,5.05,general,IC50,=
1g42,3.01,general,Ki,=
4g2j,7.96,general,IC50,=
3ok9,11.23,general,Ki,=
3eax,4.92,general,Ki,=
3amv,7.97,general,Ki,=
2wxh,8.05,general,IC50,=
4otw,9.28,general,Kd,=
4dbn,8.15,general,IC50,=
1kl3,5.86,general,Kd,=
1nzv,6.40,general,Kd,=
4qb3,5.47,general,Kd,=
5abg,8.05,general,Ki,=
2ax6,7.57,general,Ki,=
1w8m,1.60,general,Ki,=
5aib,3.80,general,IC50,=
2qry,8.64,general,Kd,=
3zm5,6.74,general,IC50,=
2qci,8.34,general,Ki,=
4gr0,9.55,general,Ki,=
2e7l,7.54,general,Kd,=
4lhv,10.00,general,Kd,=
3hek,8.27,general,Ki,=
4bcq,6.83,general,Kd,=
3da9,5.51,general,Kd,=
5azf,4.44,general,Kd,=
2xht,5.96,general,Kd,=
3qaq,7.00,general,IC50,=
3k5u,6.51,general,IC50,=
3zdh,7.35,general,Ki,=
1a3e,8.46,general,Kd,=
2bkt,7.64,general,IC50,=
2rku,8.30,general,IC50,=
2vk2,6.89,general,Kd,=
4jfj,5.68,general,Ki,=
1o47,8.40,general,IC50,=
4e81,5.24,general,Kd,=
1zc9,3.22,general,Kd,=
3b4f,8.14,general,Ki,=
2ydi,6.82,general,IC50,=
4q4r,6.43,general,Kd,=
1r9l,5.40,general,Kd,=
3ska,7.49,general,IC50,=
4flp,6.72,general,Kd,=
2g0h,7.64,general,IC50,=
2c5o,5.19,general,IC50,=
3f7z,7.19,general,IC50,=
1f0u,7.16,general,Ki,=
1j16,3.84,general,Ki,=
3ffu,6.44,general,Kd,=
4wno,6.80,general,IC50,=
3k0k,5.43,general,Ki,=
4ehv,2.29,general,IC50,=
4w7t,6.05,general,IC50,=
3shz,7.44,general,IC50,=
2wf4,7.89,general,IC50,=
4cki,5.96,general,Kd,=
2ym8,7.89,general,IC50,=
4gw6,6.20,general,IC50,=
2f2c,6.35,general,IC50,=
4v1f,7.70,general,IC50,~
3ppp,5.22,general,Kd,=
3erk,4.74,general,IC50,=
1hvk,10.96,general,Ki,=
4oyb,5.80,general,IC50,=
2vo7,6.77,general,IC50,=
3upi,8.22,general,IC50,=
2o9r,1.68,general,Ki,=
4kln,7.70,general,Kd,=
4lar,4.68,general,Kd,=
1vfn,5.60,general,Ki,=
3str,8.40,general,Ki,=
2zv2,6.30,general,IC50,=
4uiz,4.70,general,IC50,=
2gph,5.30,general,Kd,=
3mpt,6.60,general,IC50,=
3hqz,9.38,general,IC50,=
3skk,4.47,general,Kd,=
4gb9,6.27,general,IC50,=
4gr8,7.83,general,Ki,=
3cr4,4.28,general,Kd,=
2fmb,8.70,general,Ki,=
3uo9,7.10,general,IC50,=
4nb6,7.22,general,IC50,=
4jhq,7.74,general,IC50,=
4zyc,6.42,general,IC50,=
3f7u,6.61,general,IC50,=
2bvr,3.70,general,Ki,=
4wsj,7.33,general,IC50,=
4r3s,8.22,general,Kd,=
2w8f,6.30,general,Ki,=
2gdo,9.49,general,IC50,=
3jzq,6.96,general,IC50,=
4k4j,6.12,general,Kd,=
1x8j,6.96,general,Ki,=
3l6h,5.40,general,Kd,=
1w1d,6.52,general,Ki,=
2mps,5.41,general,Kd,=
3bb1,3.60,general,Kd,=
4n8d,4.92,general,IC50,=
1lee,7.74,general,Ki,=
5dhj,6.70,general,Ki,=
3fmr,7.97,general,IC50,=
3e9b,5.35,general,Ki,=
1hms,6.37,general,Kd,=
1lke,7.52,general,Kd,=
2viz,6.22,general,IC50,=
2jjb,7.92,general,Ki,=
5e2o,8.70,general,Ki,=
1o4g,2.30,general,IC50,>
3p50,4.62,general,IC50,=
4gkh,4.67,general,Ki,=
3pty,5.44,general,Kd,=
2ay5,2.59,general,Kd,=
3u8d,6.33,general,IC50,=
3sou,5.68,general,Kd,=
4kz3,2.77,general,Ki,=
4fs3,7.85,general,IC50,=
1p57,4.40,general,Ki,=
4cwb,6.09,general,Kd,=
2o4s,10.51,general,Kd,=
3eq9,7.39,general,IC50,=
1o35,5.00,general,Ki,=
1x9d,3.96,general,Kd,=
4mwx,7.12,general,IC50,=
2h03,7.05,general,IC50,=
3d9l,4.17,general,Kd,=
3rv4,2.30,general,Ki,=
4h2j,5.32,general,IC50,=
1ndz,8.11,general,Ki,=
4m8y,9.96,general,Ki,=
1uxa,2.30,general,Kd,=
4dfb,4.60,general,Ki,=
3rvi,7.96,general,IC50,=
3suv,4.55,general,Ki,=
1f1j,8.80,general,Ki,=
3uw9,4.56,general,Kd,=
1upk,6.40,general,Kd,=
2br6,2.96,general,Ki,=
4ac3,3.96,general,IC50,=
2j34,7.82,general,Ki,=
1fkw,5.05,general,Ki,=
1i2s,3.31,general,Ki,=
3cj5,6.34,general,Kd,=
3rv9,4.92,general,Ki,=
2f9u,7.39,general,Ki,=
2xqq,4.82,general,Kd,=
4c2v,9.00,general,Ki,=
2pe2,8.40,general,IC50,=
3qch,5.48,general,IC50,=
4d1b,4.44,general,Kd,=
1k08,5.34,general,Ki,=
4j1i,7.40,general,IC50,=
2w06,7.08,general,IC50,=
1if8,9.64,general,Kd,=
2h2h,4.98,general,Kd,=
1t1s,5.15,general,IC50,=
3fzy,6.74,general,Kd,=
2oj9,6.41,general,IC50,=
4v04,8.11,general,Kd,=
2zga,6.32,general,Ki,=
1e02,6.15,general,IC50,=
1fo3,6.70,general,IC50,=
4my6,5.62,general,Kd,=
4iu1,4.30,general,Ki,~
4nw2,4.54,general,Kd,=
4o44,7.85,general,Ki,=
1owh,7.40,general,Ki,=
3wk6,5.20,general,IC50,=
4qpa,7.43,general,IC50,=
1kui,3.77,general,Ki,=
2euf,7.82,general,IC50,=
3iwy,7.28,general,Kd,=
3djk,10.59,general,Ki,=
2xdw,8.37,general,Ki,=
3fnm,4.71,general,Ki,=
4k55,5.51,general,Kd,=
3h9f,7.92,general,Kd,=
1csi,8.80,general,Ki,=
2nw4,8.68,general,Ki,=
3o9p,6.52,general,Kd,=
1s26,3.07,general,Ki,=
1qf0,7.38,general,Ki,=
1pdq,5.30,general,Kd,=
1tl1,6.42,general,IC50,=
2cll,4.30,general,Kd,=
2og8,9.30,general,IC50,=
4y64,3.10,general,Ki,=
9abp,8.00,general,Kd,=
2cht,5.52,general,Ki,=
2igx,7.27,general,IC50,=
3avz,7.19,general,IC50,=
4wop,4.76,general,Kd,=
4j0z,7.11,general,IC50,=
4x21,7.44,general,Kd,=
2r03,5.15,general,Kd,=
3qd3,8.00,general,IC50,=
1q4x,9.48,general,Kd,=
3dhk,7.33,general,Ki,=
3k0h,4.60,general,Ki,=
4p1u,8.52,general,Kd,<
3ftv,2.93,general,IC50,=
2or4,5.02,general,IC50,=
4e1m,7.26,general,IC50,=
3qxv,8.40,general,Kd,=
2ykc,6.11,general,IC50,=
2ha6,4.32,general,Kd,=
4fak,4.28,general,Kd,=
1uu9,5.40,general,IC50,=
3zc6,9.22,general,IC50,=
1zz3,6.54,general,IC50,=
2ax9,9.52,general,Ki,=
1wuq,8.27,general,Ki,=
3vv6,3.80,general,IC50,=
4ijq,7.52,general,Ki,=
4esi,4.15,general,IC50,=
3k3j,4.90,general,IC50,>
4cmu,9.70,general,Ki,<
4ke0,7.77,general,IC50,=
2ykb,5.96,general,IC50,=
1pmn,8.15,general,IC50,=
4ks5,6.89,general,Ki,=
3twj,7.84,general,IC50,=
4fxj,3.62,general,IC50,=
3t6b,6.36,general,Kd,=
1kfy,5.28,general,Ki,=
4lv4,5.00,general,IC50,=
1nlt,4.92,general,Kd,=
4ejf,5.10,general,IC50,=
4obv,0.75,general,Ki,=
4gwi,3.69,general,Kd,=
4l4v,5.78,general,Kd,=
4mhz,6.87,general,Ki,=
3gds,6.51,general,Kd,=
1lxh,7.19,general,Kd,=
3rni,5.17,general,IC50,=
1db5,6.82,general,IC50,=
1h07,5.52,general,IC50,=
4lsj,9.57,general,Ki,=
3cs8,5.77,general,IC50,=
2p3a,7.96,general,Ki,=
4jfe,4.51,general,Kd,=
2rnx,3.40,general,Kd,=
1tlo,4.00,general,IC50,=
4pnc,5.43,general,IC50,=
4yik,6.89,general,Ki,=
1ru2,6.49,general,Kd,=
2cmf,7.55,general,IC50,=
3p8h,5.30,general,Kd,=
5agu,10.00,general,Kd,=
2uwl,8.40,general,Ki,=
3juo,5.07,general,Kd,=
3sus,4.15,general,Ki,=
4tkj,6.04,general,Kd,=
2hzi,7.15,general,IC50,=
3gt9,3.96,general,Ki,=
4mw2,6.70,general,IC50,=
1i90,8.89,general,IC50,=
3c56,7.89,general,Ki,=
1zsf,9.92,general,Ki,=
1x8t,7.80,general,Ki,=
4oc6,7.07,general,IC50,=
4xbo,4.59,general,Kd,=
2reg,5.64,general,Kd,=
4ijp,7.80,general,IC50,=
3sni,7.96,general,IC50,=
3bwf,9.70,general,IC50,=
2z97,6.00,general,Kd,=
3rcj,6.10,general,IC50,=
4cft,4.95,general,Ki,=
1hqg,3.00,general,Ki,=
4hy9,7.10,general,Kd,=
4ibg,3.97,general,Kd,=
3wqm,6.25,general,Kd,=
3q8h,4.15,general,Kd,=
3sha,5.59,general,Ki,=
1lvk,5.92,general,Kd,=
1tfq,7.92,general,Kd,=
2qpq,6.37,general,Kd,=
4gw8,6.06,general,IC50,=
4ddh,3.30,general,Kd,=
4aci,2.22,general,Kd,=
2clo,4.06,general,Kd,=
4px6,8.40,general,IC50,=
4uiv,7.80,general,IC50,=
4o37,6.16,general,Kd,=
3g4f,4.52,general,IC50,=
4eeh,4.35,general,IC50,=
2vt3,4.15,general,Kd,=
2nyr,4.66,general,IC50,=
4r75,7.24,general,Kd,=
5avi,6.06,general,Ki,=
2bdy,7.77,general,IC50,=
4jog,3.72,general,Ki,=
3n51,7.82,general,IC50,=
2xk3,5.68,general,IC50,=
2vnm,8.52,general,IC50,=
2x7d,6.70,general,IC50,=
